action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,521478,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2ccncc2)cc1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '17.37', 'le': '0.33', 'lle': '6.04', 'sei': '6.87'}",CHEMBL321703,,CHEMBL321703,7.82,0,http://www.openphacts.org/units/Nanomolar,203707,=,1,1,=,,IC50,nM,,15.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,15.0
,,521481,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CCCC2)NCC(=O)N1CCN(c2ccccc2)CC1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '15.24', 'le': '0.29', 'lle': '6.43', 'sei': '6.23'}",CHEMBL322268,,CHEMBL322268,6.70,1,http://www.openphacts.org/units/Nanomolar,203703,=,1,1,=,,IC50,nM,,200.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,200.0
,,522760,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2ccccc2)cc1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '17.13', 'le': '0.33', 'lle': '5.32', 'sei': '7.62'}",CHEMBL108341,,CHEMBL108341,7.70,0,http://www.openphacts.org/units/Nanomolar,203712,=,1,1,=,,IC50,nM,,20.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,20.0
,,522763,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)C/C=C\C=C/CC2)NCC(=O)N1CCN(c2ncccn2)CC1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,,CHEMBL326451,,CHEMBL326451,,0,http://www.openphacts.org/units/Nanomolar,203693,>,1,1,>,,IC50,nM,,5000.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,5000.0
,,526628,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CC=CCC2)NCC(=O)N1CCN(c2ncccn2)CC1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '13.33', 'le': '0.25', 'lle': '6.82', 'sei': '4.54'}",CHEMBL110729,,CHEMBL110729,6.05,0,http://www.openphacts.org/units/Nanomolar,203692,=,1,1,=,,IC50,nM,,900.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,900.0
,,528060,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2cc(C(F)(F)F)ccn2)CC1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '14.62', 'le': '0.29', 'lle': '7.11', 'sei': '6.39'}",CHEMBL108623,,CHEMBL108623,7.70,0,http://www.openphacts.org/units/Nanomolar,203698,=,1,1,=,,IC50,nM,,20.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,20.0
,,528067,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Cn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ncccn2)CC1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '15.32', 'le': '0.30', 'lle': '8.24', 'sei': '5.12'}",CHEMBL432406,,CHEMBL432406,6.82,0,http://www.openphacts.org/units/Nanomolar,203688,=,1,1,=,,IC50,nM,,150.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,150.0
,,529460,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CCCC2)NCC(=O)c1ccc(Br)cc1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '16.34', 'le': '0.36', 'lle': '5.53', 'sei': '7.02'}",CHEMBL421605,,CHEMBL421605,7.10,0,http://www.openphacts.org/units/Nanomolar,203715,=,1,1,=,,IC50,nM,,80.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,80.0
,,529463,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(N2CCN(C(=O)CNC(=O)CCn3c4c(c(=O)[nH]c3=O)CSCC4)CC2)cc1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '15.79', 'le': '0.31', 'lle': '7.51', 'sei': '6.59'}",CHEMBL108339,,CHEMBL108339,7.70,0,http://www.openphacts.org/units/Nanomolar,203702,=,1,1,=,,IC50,nM,,20.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,20.0
,,529470,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(N2CCN(C(=O)CNC(=O)CCn3c4c(c(=O)[nH]c3=O)CSCC4)CC2)cc1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '15.59', 'le': '0.31', 'lle': '7.41', 'sei': '6.51'}",CHEMBL108339,,CHEMBL108339,7.60,0,http://www.openphacts.org/units/Nanomolar,203702,=,1,1,=,,IC50,nM,,25.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,25.0
,,530785,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1cccc(Br)c1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '15.82', 'le': '0.36', 'lle': '5.67', 'sei': '7.08'}",CHEMBL322957,,CHEMBL322957,7.16,0,http://www.openphacts.org/units/Nanomolar,203714,=,1,1,=,,IC50,nM,,70.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,70.0
,,530788,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2cccnn2)cc1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '16.84', 'le': '0.32', 'lle': '6.43', 'sei': '5.99'}",CHEMBL108840,,CHEMBL108840,7.60,0,http://www.openphacts.org/units/Nanomolar,203706,=,1,1,=,,IC50,nM,,25.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,25.0
,,530795,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CCCC2)NCC(=O)N1CCN(c2ncccn2)CC1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '15.96', 'le': '0.30', 'lle': '7.99', 'sei': '5.29'}",CHEMBL107260,,CHEMBL107260,7.05,0,http://www.openphacts.org/units/Nanomolar,203696,=,1,1,=,,IC50,nM,,90.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,90.0
,,533457,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1cccnc1N1CCN(C(=O)CNC(=O)CCn2c3c(c(=O)[nH]c2=O)CSCC3)CC1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '15.11', 'le': '0.30', 'lle': '7.99', 'sei': '4.89'}",CHEMBL410733,,CHEMBL410733,7.16,0,http://www.openphacts.org/units/Nanomolar,203697,=,1,1,=,,IC50,nM,,70.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,70.0
,,533460,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CCCCC2)NCC(=O)N1CCN(c2ncccn2)CC1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '13.27', 'le': '0.25', 'lle': '6.60', 'sei': '4.54'}",CHEMBL325336,,CHEMBL325336,6.05,0,http://www.openphacts.org/units/Nanomolar,203694,=,1,1,=,,IC50,nM,,900.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,900.0
,,534774,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2cccnc2)cc1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '17.58', 'le': '0.34', 'lle': '6.14', 'sei': '6.95'}",CHEMBL107764,,CHEMBL107764,7.92,0,http://www.openphacts.org/units/Nanomolar,203708,=,1,1,=,,IC50,nM,,12.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,12.0
,,534777,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ccncc2)CC1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '16.13', 'le': '0.32', 'lle': '7.82', 'sei': '6.14'}",CHEMBL110178,,CHEMBL110178,7.40,0,http://www.openphacts.org/units/Nanomolar,203700,=,1,1,=,,IC50,nM,,40.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,40.0
,,537477,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(Oc2ccccc2)cc1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '16.16', 'le': '0.31', 'lle': '5.01', 'sei': '6.82'}",CHEMBL107935,,CHEMBL107935,7.52,0,http://www.openphacts.org/units/Nanomolar,203711,=,1,1,=,,IC50,nM,,30.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,30.0
,,538726,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CCCC2)NCC(=O)c1ccccc1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '17.86', 'le': '0.33', 'lle': '5.55', 'sei': '6.28'}",CHEMBL105925,,CHEMBL105925,6.35,0,http://www.openphacts.org/units/Nanomolar,203677,=,1,1,=,,IC50,nM,,450.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,450.0
,,538729,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(N2CCCC2)cc1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '17.90', 'le': '0.35', 'lle': '6.60', 'sei': '7.60'}",CHEMBL108919,,CHEMBL108919,7.92,0,http://www.openphacts.org/units/Nanomolar,203680,=,1,1,=,,IC50,nM,,12.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,12.0
,,540007,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)COCC2)NCC(=O)N1CCN(c2ncccn2)CC1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '13.75', 'le': '0.26', 'lle': '7.85', 'sei': '4.28'}",CHEMBL110332,,CHEMBL110332,6.10,0,http://www.openphacts.org/units/Nanomolar,203695,=,1,1,=,,IC50,nM,,800.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,800.0
,,541257,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1cccc(-c2ccccc2)c1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '15.92', 'le': '0.31', 'lle': '4.77', 'sei': '7.08'}",CHEMBL107616,,CHEMBL107616,7.16,0,http://www.openphacts.org/units/Nanomolar,203682,=,1,1,=,,IC50,nM,,70.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,70.0
,,541260,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2cncnc2)cc1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '16.84', 'le': '0.32', 'lle': '6.43', 'sei': '5.99'}",CHEMBL108137,,CHEMBL108137,7.60,0,http://www.openphacts.org/units/Nanomolar,203705,=,1,1,=,,IC50,nM,,25.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,25.0
,,541263,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ncccc2C(F)(F)F)CC1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '14.05', 'le': '0.28', 'lle': '6.81', 'sei': '6.14'}",CHEMBL419020,,CHEMBL419020,7.40,0,http://www.openphacts.org/units/Nanomolar,203699,=,1,1,=,,IC50,nM,,40.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,40.0
,,541270,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2cccnn2)CC1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '16.75', 'le': '0.33', 'lle': '8.73', 'sei': '5.78'}",CHEMBL108239,,CHEMBL108239,7.70,0,http://www.openphacts.org/units/Nanomolar,203690,=,1,1,=,,IC50,nM,,20.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,20.0
,,542688,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCCCCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ncccn2)CC1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '13.16', 'le': '0.26', 'lle': '6.46', 'sei': '4.95'}",CHEMBL105765,,CHEMBL105765,6.60,0,http://www.openphacts.org/units/Nanomolar,203686,=,1,1,=,,IC50,nM,,250.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,250.0
,,543905,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc2ccccc2c1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '19.06', 'le': '0.37', 'lle': '6.20', 'sei': '7.99'}",CHEMBL323488,,CHEMBL323488,8.07,0,http://www.openphacts.org/units/Nanomolar,203681,=,1,1,=,,IC50,nM,,8.5,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,8.5
,,547944,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CCCC2)NCC(=O)c1ccc2ccccc2c1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '18.75', 'le': '0.35', 'lle': '5.64', 'sei': '7.52'}",CHEMBL432211,,CHEMBL432211,7.60,0,http://www.openphacts.org/units/Nanomolar,203713,=,1,1,=,,IC50,nM,,25.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,25.0
,,547951,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Cn1c2c(c(=O)[nH]c1=O)CSCC2)NCCC(=O)N1CCN(c2ncccn2)CC1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '15.72', 'le': '0.31', 'lle': '8.25', 'sei': '5.42'}",CHEMBL320579,,CHEMBL320579,7.22,0,http://www.openphacts.org/units/Nanomolar,203687,=,1,1,=,,IC50,nM,,60.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,60.0
,,549091,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ncccn2)CC1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '16.75', 'le': '0.33', 'lle': '8.73', 'sei': '5.78'}",CHEMBL107601,,CHEMBL107601,7.70,1,http://www.openphacts.org/units/Nanomolar,203691,=,1,1,=,,IC50,nM,,20.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,20.0
,,550066,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(OC(F)F)cc1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '17.12', 'le': '0.34', 'lle': '6.20', 'sei': '6.82'}",CHEMBL110115,,CHEMBL110115,7.52,0,http://www.openphacts.org/units/Nanomolar,203678,=,1,1,=,,IC50,nM,,30.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,30.0
,,551284,[],CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(Cl)cc1,,,CHEMBL1134951,Bioorg Med Chem Lett,2002,"{'bei': '17.71', 'le': '0.37', 'lle': '5.85', 'sei': '7.15'}",CHEMBL111606,,CHEMBL111606,7.22,0,http://www.openphacts.org/units/Nanomolar,203716,=,1,1,=,,IC50,nM,,60.0,CHEMBL3105,Homo sapiens,Poly [ADP-ribose] polymerase-1,9606,,,IC50,nM,UO_0000065,,60.0
